beta,mean_peak,mean_final_inf,mean_final_rec,mean_deaths
0.05,0.0004,0.0,0.0004,0.0
0.06,0.0004,0.0,0.0004,0.0
0.07,0.0005333333333333334,0.0,0.0006000000000000001,0.0
0.08,0.0005333333333333334,0.0,0.0006000000000000001,0.0
0.09,0.0006666666666666668,0.0,0.0008,0.0
0.1,0.0006666666666666668,0.0,0.0008,0.0
0.11,0.001133333333333333,0.0,0.0017333333333333333,0.2
0.12,0.0009999999999999998,0.0,0.001133333333333333,0.0
0.13,0.0010666666666666667,0.0,0.0012,0.0
0.14,0.0020666666666666667,0.0,0.0048000000000000004,0.6
0.15,0.006200000000000001,0.0054666666666666665,0.012133333333333333,1.0
0.16,0.028533333333333334,0.027533333333333333,0.06526666666666667,4.0
0.17,0.045,0.0442,0.05326666666666667,4.6
0.18,0.197,0.1924,0.0067333333333333325,23.4
0.19,0.19899999999999998,0.1928666666666667,0.0071333333333333335,20.8
0.2,0.39326666666666665,0.3686,0.0168,44.8
0.21,0.39626666666666666,0.37346666666666667,0.003799999999999999,69.2
0.22,0.3957333333333333,0.36933333333333335,0.006333333333333332,74.0
0.23,0.3970666666666666,0.36386666666666667,0.0048000000000000004,95.0
0.24,0.5965333333333332,0.5306666666666666,0.023733333333333335,137.2
0.25,0.5967333333333333,0.5488,0.005000000000000001,139.0
0.26,0.5976666666666667,0.5371333333333334,0.015133333333333332,143.6
0.27,0.5979333333333333,0.5288666666666667,0.01666666666666667,163.8
0.28,0.5986666666666667,0.5264666666666666,0.016533333333333334,171.4
0.29,0.599,0.5103333333333333,0.032400000000000005,172.2
0.3,0.5986666666666667,0.5256666666666666,0.0126,185.6
